latitude,longitude,distance_m,distance_km,r_min_m,v_safe_kmh,altitude_m,heading_deg,grade_pct,stop_event,lap,s_m,t_s,v_kmh,a_ms2,v_ceiling_kmh,f_traction_n,f_drag_n,f_roll_n,f_grade_n,f_cornering_n,p_wheel_w,p_motor_mech_w,p_motor_elec_w,p_fc_elec_w,h2_flow_m3_s,h2_cumulative_m3,accessory_energy_cumulative_j,motor_clipped,motor_state,weather_scenario,motor_name,fc_name,rule_violation
25.488415852958347,51.450187413558325,0.0,0.0,1242.3721783609517,366.4142253025199,11.7,330.44033013822326,0.9903977704383495,True,1,0.0,0.0,0.0,-0.14175540085940094,0.0,0.0,0.8475228458591345,6.199615951090664,15.350214538835553,0.0,0.0,0.0,0.0,10.0,1.0978737306214578e-06,0.0,0.0,False,cruise,typical_january,Innotec Power 145-DZS48-010,G-HFCS 600W 24V,False
25.4884568108014,51.45016167976365,5.223524115778027,0.005223524115778027,1525.9368089363502,406.08293745718026,11.7,330.2493698685981,0.33112213955896524,False,1,5.223524115778027,104.47048231556055,0.0,0.833,216.45373391543356,143.79161366043712,0.8454288456282233,6.199886011737953,5.132298803070927,0.0,0.0,0.0,0.0,10.0,1.0978737306214578e-06,0.00011469539815960748,1567.0572347334082,False,accel,typical_january,Innotec Power 145-DZS48-010,G-HFCS 600W 24V,False
25.48849576802094,51.45013701248453,10.20141908041536,0.01020141908041536,2345.677397594458,503.4781281235009,11.8,330.12806068058995,0.28414283933890383,False,1,10.20141908041536,107.92760953430333,10.367233103565864,0.833,215.55773661245175,144.43235679744893,2.1863918701917684,6.199894971957025,4.404139402337157,0.027930552962980283,415.93441961570795,489.3346113125976,523.609222327204,591.7880248080044,9.418905710678069e-05,0.00011849088731648161,1618.91414301455,False,accel,typical_january,Innotec Power 145-DZS48-010,G-HFCS 600W 24V,False
25.488534725360797,51.45011222374761,15.185424189908904,0.015185424189908904,3360.6506101039627,602.6402700252287,11.9,330.04312990452314,0.28414283933890383,False,1,15.185424189908904,109.36109857825032,14.665980048554085,0.833,214.65689268264575,145.1229935490861,2.865945136485913,6.199894971957025,4.404139402337157,0.039014038305996396,591.2141466603721,695.5460548945554,768.8706066835027,864.3006740927808,0.00015419511338479335,0.00025350986873874865,1640.416478673755,False,accel,typical_january,Innotec Power 145-DZS48-010,G-HFCS 600W 24V,False
25.488573840362573,51.45008724918526,20.193906526211297,0.020193906526211298,4262.109242034565,678.6701621366448,11.9,329.9760152431252,0.28588946548132965,False,1,20.193906526211297,110.4657550452269,17.97862386172347,0.833,213.7477999645798,145.7228430910289,3.4315084350904734,6.199894663318438,4.431211428341641,0.04622856427833405,727.748939998488,856.175223527633,963.6497072704826,1080.7218969672028,0.00019280562937799828,0.0004238424979154485,1656.9863256784038,False,accel,typical_january,Innotec Power 145-DZS48-010,G-HFCS 600W 24V,False
25.488612910055437,51.45006223595753,25.199999773195408,0.025199999773195408,5702.227763233645,784.998356431566,11.9,329.9258929681598,0.2500444289231153,False,1,25.199999773195408,111.39599505242481,20.768227595308545,0.833,212.8352606567167,145.66773109152868,3.9320959371690365,6.199900618453877,3.875626523803423,0.04610801210235002,840.3501646114086,988.6472524840101,1136.5665369331964,1272.8517077035515,0.0002270824485904636,0.0006031980079758342,1670.9399257863724,False,accel,typical_january,Innotec Power 145-DZS48-010,G-HFCS 600W 24V,False
25.48865191490504,51.45003721378514,30.200336387411426,0.030200336387411427,7782.610395468629,917.0839908659908,11.8,329.8892180588493,-0.24986243190271668,False,1,30.200336387411426,112.21440488662456,23.22247500610679,0.7448690189849855,211.9198480645244,124.44704116617895,4.388402135172459,6.199900646657532,-3.8728056328226916,0.04223901754394343,802.7689730737593,944.4340859691287,1078.8547267999002,1208.7274742221114,0.00021564239798219326,0.0007890445170764313,1683.2160732993689,False,accel,typical_january,Innotec Power 145-DZS48-010,G-HFCS 600W 24V,False
25.48869084975142,51.45001219963151,35.19356681050444,0.035193566810504444,14411.059924984096,1247.9420805754007,11.8,329.86939941854445,-0.8561822644895509,False,1,35.19356681050444,112.9566577987396,25.212847320655925,0.014135845318113715,211.0017734664602,0.0,4.810122448580932,6.199692770523168,-13.270167488515057,0.026888709148989606,0.0,0.0,0.0,10.0,1.0978737306214578e-06,0.0009491057149541823,1694.3498669810942,False,cruise,typical_january,Innotec Power 145-DZS48-010,G-HFCS 600W 24V,False
25.488729895841335,51.4499870940015,40.20207774371226,0.04020207774371226,20368.04350656328,1483.6146881525651,11.8,329.85534980484675,-1.1415757991324536,False,1,40.20207774371226,113.67127939699131,25.249213730001856,0.04212756835987069,210.07685878226843,0.0,4.8182923133098585,6.199516054149277,-17.693043734374836,0.01907956605613014,0.0,0.0,0.0,10.0,1.0978737306214578e-06,0.0009498902792342376,1705.0691909548698,False,cruise,typical_january,Innotec Power 145-DZS48-010,G-HFCS 600W 24V,False
25.488768981751225,51.44996194856365,45.21641675117037,0.04521641675117037,25219.312530450203,1650.8708121641926,11.8,329.84400604499996,-1.4261324811744682,False,1,45.21641675117037,114.38468880871335,25.357408863541078,0.06990053058271732,209.14677046181038,0.0,4.843405536928106,6.199289609598235,-22.102520681138582,0.015541702542904594,0.0,0.0,0.0,10.0,1.0978737306214578e-06,0.0009506735126865453,1715.7703321307004,False,cruise,typical_january,Innotec Power 145-DZS48-010,G-HFCS 600W 24V,False
25.488808006122724,51.44993683126038,50.22344209463792,0.050223442094637916,89141.06103022899,3103.74023988982,11.7,329.8408039929784,-1.9967511519985857,False,1,50.22344209463792,115.09304815957792,25.535661763628262,0.1256621427567439,208.21389315772655,3.552713678800501e-15,4.885313617813422,6.198684410708749,-30.94307559489592,0.004459010808215242,2.520024856801807e-14,2.9647351256491846e-14,3.3499831928239376e-14,10.000000000000037,1.097873730621462e-06,0.0009514512018096996,1726.3957223936688,False,cruise,typical_january,Innotec Power 145-DZS48-010,G-HFCS 600W 24V,False
