,TabFM (default),EXAONE-Tabular (default),TabPFN-3 (default),TabPFN-2.6 (default),RealTabPFN-2.5 (T+E),TabICLv2 (default),RealMLP (T+E),TabDPT (T+E),TabDPT-Turbo (default),LimiX (default),TabM (T+E),iLTM (T+E),TabSwift (default),LightGBM (T+E),CatBoost (T+E),xRFM (T+E),XGBoost (T+E),ModernNCA (T+E),ChimeraBoost (T+E),SAP-RPT-OSS (default),EBM (T+E),TorchMLP (T+E),ExtraTrees (T+E),FastaiMLP (T+E),TabSTAR (T+E),RandomForest (T+E),PerpetualBooster (T+E),KNN (T+E),Linear (T+E)
TabM (T+E),0.083333336,0.11111111,0.16666667,0.22222222,0.22222222,0.2777778,0.33333334,0.44444445,0.5,0.41666666,,0.5277778,0.5555556,0.5555556,0.5277778,0.5833333,0.6388889,0.6388889,0.6388889,0.6388889,0.75,0.75,0.6944444,0.7777778,0.8055556,0.7777778,0.8055556,0.8888889,0.9444444
iLTM (T+E),0.11111111,0.083333336,0.1388889,0.11111111,0.16666667,0.19444445,0.22222222,0.2777778,0.3888889,0.375,0.4722222,,0.5,0.5555556,0.5,0.5555556,0.5833333,0.5277778,0.5555556,0.6388889,0.6388889,0.7222222,0.8333333,0.8333333,0.7222222,0.8888889,0.8888889,0.9444444,0.9166667
TabSwift (default),0.11111111,0.16666667,0.1388889,0.19444445,0.22222222,0.19444445,0.3611111,0.33333334,0.31944445,0.4722222,0.44444445,0.5,,0.4722222,0.5555556,0.5833333,0.5555556,0.5277778,0.5277778,0.6944444,0.6666667,0.5833333,0.6944444,0.8333333,0.75,0.7222222,0.7777778,0.9166667,0.9166667
LightGBM (T+E),0.055555556,0.083333336,0.083333336,0.11111111,0.11111111,0.16666667,0.22222222,0.3611111,0.3611111,0.3611111,0.44444445,0.44444445,0.5277778,,0.5555556,0.5833333,0.5555556,0.5,0.5833333,0.5833333,0.7222222,0.7777778,0.7777778,0.8055556,0.75,0.8333333,0.8611111,0.9444444,0.9722222
CatBoost (T+E),0.027777778,0.027777778,0.16666667,0.11111111,0.083333336,0.22222222,0.1388889,0.33333334,0.3888889,0.41666666,0.4722222,0.5,0.44444445,0.44444445,,0.4722222,0.6111111,0.6111111,0.5277778,0.6666667,0.6666667,0.7222222,0.75,0.7222222,0.75,0.8611111,0.8888889,0.8611111,0.9722222
xRFM (T+E),0.055555556,0.055555556,0.11111111,0.11111111,0.1388889,0.19444445,0.30555555,0.33333334,0.30555555,0.3611111,0.41666666,0.44444445,0.41666666,0.41666666,0.5277778,,0.5,0.5555556,0.5555556,0.5277778,0.5833333,0.6111111,0.7222222,0.6944444,0.6944444,0.8055556,0.75,0.9166667,0.9444444
XGBoost (T+E),0.055555556,0.027777778,0.083333336,0.11111111,0.083333336,0.19444445,0.1388889,0.2777778,0.2777778,0.3611111,0.3611111,0.41666666,0.44444445,0.44444445,0.3888889,0.5,,0.4722222,0.5,0.4722222,0.6388889,0.6666667,0.75,0.75,0.7777778,0.8333333,0.7777778,0.8611111,0.9166667
ModernNCA (T+E),0.11111111,0.055555556,0.083333336,0.083333336,0.1388889,0.1388889,0.25,0.30555555,0.41666666,0.33333334,0.3611111,0.4722222,0.4722222,0.5,0.3888889,0.44444445,0.5277778,,0.4722222,0.5,0.5833333,0.5555556,0.6944444,0.7222222,0.6944444,0.75,0.7777778,0.8472222,0.8333333
ChimeraBoost (T+E),0.083333336,0.027777778,0.11111111,0.083333336,0.083333336,0.16666667,0.22222222,0.2777778,0.33333334,0.2777778,0.3611111,0.44444445,0.4722222,0.41666666,0.4722222,0.44444445,0.5,0.5277778,,0.5277778,0.6666667,0.6666667,0.6111111,0.6666667,0.7222222,0.6944444,0.8055556,0.8333333,0.9444444
SAP-RPT-OSS (default),0.083333336,0.11111111,0.19444445,0.16666667,0.1388889,0.22222222,0.2777778,0.30555555,0.30555555,0.3611111,0.3611111,0.3611111,0.30555555,0.41666666,0.33333334,0.4722222,0.5277778,0.5,0.4722222,,0.4722222,0.6388889,0.6111111,0.7222222,0.6388889,0.6944444,0.75,0.7777778,0.9166667
EBM (T+E),0.083333336,0.055555556,0.19444445,0.1388889,0.1388889,0.19444445,0.16666667,0.30555555,0.30555555,0.25,0.25,0.3611111,0.33333334,0.2777778,0.33333334,0.41666666,0.3611111,0.41666666,0.33333334,0.5277778,,0.5555556,0.6666667,0.6944444,0.75,0.6388889,0.6666667,0.8888889,0.9722222
TorchMLP (T+E),0.027777778,0.027777778,0.055555556,0.055555556,0.11111111,0.11111111,0.16666667,0.2777778,0.25,0.2777778,0.25,0.2777778,0.41666666,0.22222222,0.2777778,0.3888889,0.33333334,0.44444445,0.33333334,0.3611111,0.44444445,,0.5833333,0.6666667,0.6666667,0.6666667,0.6944444,0.8333333,0.8888889
ExtraTrees (T+E),0.055555556,0.055555556,0.027777778,0.083333336,0.083333336,0.16666667,0.16666667,0.19444445,0.16666667,0.22222222,0.30555555,0.16666667,0.30555555,0.22222222,0.25,0.2777778,0.25,0.30555555,0.3888889,0.3888889,0.33333334,0.41666666,,0.5,0.6666667,0.7222222,0.6388889,0.9444444,0.8333333
FastaiMLP (T+E),0.083333336,0.083333336,0.11111111,0.083333336,0.11111111,0.055555556,0.11111111,0.25,0.19444445,0.2777778,0.22222222,0.16666667,0.16666667,0.19444445,0.2777778,0.30555555,0.25,0.2777778,0.33333334,0.2777778,0.30555555,0.33333334,0.5,,0.6388889,0.5555556,0.6111111,0.8055556,0.8333333
TabSTAR (T+E),0.11111111,0.1388889,0.1388889,0.16666667,0.16666667,0.1388889,0.22222222,0.25,0.25,0.19444445,0.19444445,0.2777778,0.25,0.25,0.25,0.30555555,0.22222222,0.30555555,0.2777778,0.3611111,0.25,0.33333334,0.33333334,0.3611111,,0.41666666,0.5277778,0.5833333,0.6944444
RandomForest (T+E),0.055555556,0.027777778,0.055555556,0.055555556,0.083333336,0.1388889,0.19444445,0.19444445,0.1388889,0.22222222,0.22222222,0.11111111,0.2777778,0.16666667,0.1388889,0.19444445,0.16666667,0.25,0.30555555,0.30555555,0.3611111,0.33333334,0.2777778,0.44444445,0.5833333,,0.5277778,0.8055556,0.7777778
PerpetualBooster (T+E),0.0,0.0,0.027777778,0.027777778,0.055555556,0.083333336,0.055555556,0.22222222,0.19444445,0.19444445,0.19444445,0.11111111,0.22222222,0.1388889,0.11111111,0.25,0.22222222,0.22222222,0.19444445,0.25,0.33333334,0.30555555,0.3611111,0.3888889,0.4722222,0.4722222,,0.6111111,0.7777778
KNN (T+E),0.055555556,0.027777778,0.027777778,0.027777778,0.055555556,0.055555556,0.055555556,0.083333336,0.027777778,0.083333336,0.11111111,0.055555556,0.083333336,0.055555556,0.1388889,0.083333336,0.1388889,0.15277778,0.16666667,0.22222222,0.11111111,0.16666667,0.055555556,0.19444445,0.41666666,0.19444445,0.3888889,,0.6388889
Linear (T+E),0.027777778,0.027777778,0.027777778,0.027777778,0.055555556,0.027777778,0.027777778,0.083333336,0.083333336,0.055555556,0.055555556,0.083333336,0.083333336,0.027777778,0.027777778,0.055555556,0.083333336,0.16666667,0.055555556,0.083333336,0.027777778,0.11111111,0.16666667,0.16666667,0.30555555,0.22222222,0.22222222,0.3611111,
