,season,region_id,source,term,value,model,member
0,DJF,1,conversion,bias,0.013738859908408299,IPSL-CM6A-LR,historical_ens_ssp370_r6i1p1f1
1,DJF,1,conversion,change,0.00609650422098001,IPSL-CM6A-LR,historical_ens_ssp370_r6i1p1f1
2,DJF,1,conversion,uncalibrated_change,0.010109106997908743,IPSL-CM6A-LR,historical_ens_ssp370_r6i1p1f1
3,DJF,1,dynamical,bias,0.012495043109180766,IPSL-CM6A-LR,historical_ens_ssp370_r6i1p1f1
4,DJF,1,dynamical,change,-0.012910305278090246,IPSL-CM6A-LR,historical_ens_ssp370_r6i1p1f1
5,DJF,1,dynamical,uncalibrated_change,-0.014289865323767638,IPSL-CM6A-LR,historical_ens_ssp370_r6i1p1f1
6,DJF,1,nonlinear,bias,0.0029648247960971344,IPSL-CM6A-LR,historical_ens_ssp370_r6i1p1f1
7,DJF,1,nonlinear,change,-0.0014545317560658794,IPSL-CM6A-LR,historical_ens_ssp370_r6i1p1f1
8,DJF,1,nonlinear,uncalibrated_change,-0.0016737388315773186,IPSL-CM6A-LR,historical_ens_ssp370_r6i1p1f1
9,DJF,3,conversion,bias,0.010123654134069498,IPSL-CM6A-LR,historical_ens_ssp370_r6i1p1f1
10,DJF,3,conversion,change,0.0027941541182039354,IPSL-CM6A-LR,historical_ens_ssp370_r6i1p1f1
11,DJF,3,conversion,uncalibrated_change,0.0007179645671503798,IPSL-CM6A-LR,historical_ens_ssp370_r6i1p1f1
12,DJF,3,dynamical,bias,-0.017440539086173643,IPSL-CM6A-LR,historical_ens_ssp370_r6i1p1f1
13,DJF,3,dynamical,change,-0.006155950463963197,IPSL-CM6A-LR,historical_ens_ssp370_r6i1p1f1
14,DJF,3,dynamical,uncalibrated_change,-0.0076671845525659805,IPSL-CM6A-LR,historical_ens_ssp370_r6i1p1f1
15,DJF,3,nonlinear,bias,0.00044297503110279045,IPSL-CM6A-LR,historical_ens_ssp370_r6i1p1f1
16,DJF,3,nonlinear,change,-0.0001719660627664734,IPSL-CM6A-LR,historical_ens_ssp370_r6i1p1f1
17,DJF,3,nonlinear,uncalibrated_change,-0.00012993673463030682,IPSL-CM6A-LR,historical_ens_ssp370_r6i1p1f1
18,DJF,4,conversion,bias,-0.03517577054368634,IPSL-CM6A-LR,historical_ens_ssp370_r6i1p1f1
